id_municipio,municipio,ano,n_consumado,n_tentativa,n_outro,n_total
3500105,Adamantina,2022,0,1,0,1
3500105,Adamantina,2023,0,0,0,0
3500105,Adamantina,2024,0,0,0,0
3500105,Adamantina,2025,0,0,0,0
3500204,Adolfo,2022,0,0,0,0
3500204,Adolfo,2023,0,0,0,0
3500204,Adolfo,2024,0,0,0,0
3500204,Adolfo,2025,0,0,0,0
3500303,Aguaí,2022,0,1,0,1
3500303,Aguaí,2023,0,0,0,0
3500303,Aguaí,2024,1,2,0,3
3500303,Aguaí,2025,0,1,0,1
3500402,Águas da Prata,2022,0,0,0,0
3500402,Águas da Prata,2023,0,0,0,0
3500402,Águas da Prata,2024,0,0,0,0
3500402,Águas da Prata,2025,0,0,0,0
3500501,Águas de Lindóia,2022,0,0,0,0
3500501,Águas de Lindóia,2023,0,0,0,0
3500501,Águas de Lindóia,2024,0,0,0,0
3500501,Águas de Lindóia,2025,0,0,0,0
3500550,Águas de Santa Bárbara,2022,0,0,0,0
3500550,Águas de Santa Bárbara,2023,0,0,0,0
3500550,Águas de Santa Bárbara,2024,0,0,0,0
3500550,Águas de Santa Bárbara,2025,0,0,0,0
3500600,Águas de São Pedro,2022,0,0,0,0
3500600,Águas de São Pedro,2023,0,0,0,0
3500600,Águas de São Pedro,2024,0,0,0,0
3500600,Águas de São Pedro,2025,0,0,0,0
3500709,Agudos,2022,0,0,0,0
3500709,Agudos,2023,1,0,0,1
3500709,Agudos,2024,0,0,0,0
3500709,Agudos,2025,0,0,0,0
3500758,Alambari,2022,0,0,0,0
3500758,Alambari,2023,0,0,0,0
3500758,Alambari,2024,0,0,0,0
3500758,Alambari,2025,0,0,0,0
3500808,Alfredo Marcondes,2022,0,0,0,0
3500808,Alfredo Marcondes,2023,0,0,0,0
3500808,Alfredo Marcondes,2024,0,0,0,0
3500808,Alfredo Marcondes,2025,0,0,0,0
3500907,Altair,2022,0,0,0,0
3500907,Altair,2023,0,0,0,0
3500907,Altair,2024,0,0,0,0
3500907,Altair,2025,0,0,0,0
3501004,Altinópolis,2022,0,0,0,0
3501004,Altinópolis,2023,0,0,0,0
3501004,Altinópolis,2024,0,0,0,0
3501004,Altinópolis,2025,0,0,0,0
3501103,Alto Alegre,2022,0,0,0,0
3501103,Alto Alegre,2023,0,0,0,0
3501103,Alto Alegre,2024,0,0,0,0
3501103,Alto Alegre,2025,0,0,0,0
3501152,Alumínio,2022,0,0,0,0
3501152,Alumínio,2023,0,0,0,0
3501152,Alumínio,2024,0,0,0,0
3501152,Alumínio,2025,0,0,0,0
3501202,Álvares Florence,2022,0,0,0,0
3501202,Álvares Florence,2023,0,0,0,0
3501202,Álvares Florence,2024,0,0,0,0
3501202,Álvares Florence,2025,0,0,0,0
3501301,Álvares Machado,2022,0,1,0,1
3501301,Álvares Machado,2023,0,0,0,0
3501301,Álvares Machado,2024,0,0,0,0
3501301,Álvares Machado,2025,0,1,0,1
3501400,Álvaro de Carvalho,2022,0,0,0,0
3501400,Álvaro de Carvalho,2023,0,0,0,0
3501400,Álvaro de Carvalho,2024,0,0,0,0
3501400,Álvaro de Carvalho,2025,0,0,0,0
3501509,Alvinlândia,2022,0,0,0,0
3501509,Alvinlândia,2023,0,0,0,0
3501509,Alvinlândia,2024,0,0,0,0
3501509,Alvinlândia,2025,0,0,0,0
3501608,Americana,2022,0,0,0,0
3501608,Americana,2023,0,0,0,0
3501608,Americana,2024,3,0,0,3
3501608,Americana,2025,0,0,0,0
3501707,Américo Brasiliense,2022,0,0,0,0
3501707,Américo Brasiliense,2023,1,0,0,1
3501707,Américo Brasiliense,2024,1,0,0,1
3501707,Américo Brasiliense,2025,0,0,0,0
3501806,Américo de Campos,2022,0,0,0,0
3501806,Américo de Campos,2023,0,0,0,0
3501806,Américo de Campos,2024,0,0,0,0
3501806,Américo de Campos,2025,0,0,0,0
3501905,Amparo,2022,0,0,0,0
3501905,Amparo,2023,0,0,0,0
3501905,Amparo,2024,0,0,0,0
3501905,Amparo,2025,0,2,0,2
3502002,Analândia,2022,0,0,0,0
3502002,Analândia,2023,0,0,0,0
3502002,Analândia,2024,0,1,0,1
3502002,Analândia,2025,0,0,0,0
3502101,Andradina,2022,0,1,0,1
3502101,Andradina,2023,0,0,0,0
3502101,Andradina,2024,1,1,0,2
3502101,Andradina,2025,0,0,0,0
3502200,Angatuba,2022,0,0,0,0
3502200,Angatuba,2023,0,0,0,0
3502200,Angatuba,2024,0,0,0,0
3502200,Angatuba,2025,0,1,0,1
3502309,Anhembi,2022,0,1,0,1
3502309,Anhembi,2023,0,0,0,0
3502309,Anhembi,2024,0,0,0,0
3502309,Anhembi,2025,0,0,0,0
3502408,Anhumas,2022,0,0,0,0
3502408,Anhumas,2023,0,0,0,0
3502408,Anhumas,2024,0,0,0,0
3502408,Anhumas,2025,0,0,0,0
3502507,Aparecida,2022,0,0,0,0
3502507,Aparecida,2023,0,0,0,0
3502507,Aparecida,2024,0,0,0,0
3502507,Aparecida,2025,0,1,0,1
3502606,Aparecida d'Oeste,2022,0,0,0,0
3502606,Aparecida d'Oeste,2023,0,0,0,0
3502606,Aparecida d'Oeste,2024,0,0,0,0
3502606,Aparecida d'Oeste,2025,0,0,0,0
3502705,Apiaí,2022,0,0,0,0
3502705,Apiaí,2023,0,0,0,0
3502705,Apiaí,2024,1,1,0,2
3502705,Apiaí,2025,0,0,0,0
3502754,Araçariguama,2022,0,2,0,2
3502754,Araçariguama,2023,2,1,0,3
3502754,Araçariguama,2024,1,0,0,1
3502754,Araçariguama,2025,0,1,0,1
3502804,Araçatuba,2022,0,1,0,1
3502804,Araçatuba,2023,1,1,0,2
3502804,Araçatuba,2024,0,3,0,3
3502804,Araçatuba,2025,0,1,0,1
3502903,Araçoiaba da Serra,2022,0,0,0,0
3502903,Araçoiaba da Serra,2023,0,0,0,0
3502903,Araçoiaba da Serra,2024,0,0,0,0
3502903,Araçoiaba da Serra,2025,0,0,0,0
3503000,Aramina,2022,0,0,0,0
3503000,Aramina,2023,0,0,0,0
3503000,Aramina,2024,0,0,0,0
3503000,Aramina,2025,0,0,0,0
3503109,Arandu,2022,0,0,0,0
3503109,Arandu,2023,0,0,0,0
3503109,Arandu,2024,0,1,0,1
3503109,Arandu,2025,0,0,0,0
3503158,Arapeí,2022,0,0,0,0
3503158,Arapeí,2023,0,0,0,0
3503158,Arapeí,2024,0,0,0,0
3503158,Arapeí,2025,0,0,0,0
3503208,Araraquara,2022,0,1,0,1
3503208,Araraquara,2023,1,0,0,1
3503208,Araraquara,2024,0,8,0,8
3503208,Araraquara,2025,2,0,0,2
3503307,Araras,2022,0,2,0,2
3503307,Araras,2023,1,0,0,1
3503307,Araras,2024,1,0,0,1
3503307,Araras,2025,1,0,0,1
3503356,Arco-Íris,2022,0,0,0,0
3503356,Arco-Íris,2023,0,0,0,0
3503356,Arco-Íris,2024,0,0,0,0
3503356,Arco-Íris,2025,0,0,0,0
3503406,Arealva,2022,0,0,0,0
3503406,Arealva,2023,0,0,0,0
3503406,Arealva,2024,0,0,0,0
3503406,Arealva,2025,0,0,0,0
3503505,Areias,2022,0,0,0,0
3503505,Areias,2023,0,0,0,0
3503505,Areias,2024,0,0,0,0
3503505,Areias,2025,0,0,0,0
3503604,Areiópolis,2022,0,0,0,0
3503604,Areiópolis,2023,0,0,0,0
3503604,Areiópolis,2024,0,0,0,0
3503604,Areiópolis,2025,0,0,0,0
3503703,Ariranha,2022,0,0,0,0
3503703,Ariranha,2023,0,0,0,0
3503703,Ariranha,2024,0,0,0,0
3503703,Ariranha,2025,0,0,0,0
3503802,Artur Nogueira,2022,0,0,0,0
3503802,Artur Nogueira,2023,0,0,0,0
3503802,Artur Nogueira,2024,1,0,0,1
3503802,Artur Nogueira,2025,0,1,0,1
3503901,Arujá,2022,0,0,0,0
3503901,Arujá,2023,0,0,0,0
3503901,Arujá,2024,0,1,0,1
3503901,Arujá,2025,0,2,0,2
3503950,Aspásia,2022,0,0,0,0
3503950,Aspásia,2023,0,0,0,0
3503950,Aspásia,2024,0,0,0,0
3503950,Aspásia,2025,0,0,0,0
3504008,Assis,2022,0,0,0,0
3504008,Assis,2023,1,1,0,2
3504008,Assis,2024,0,0,0,0
3504008,Assis,2025,1,3,0,4
3504107,Atibaia,2022,0,0,0,0
3504107,Atibaia,2023,1,1,0,2
3504107,Atibaia,2024,0,3,0,3
3504107,Atibaia,2025,0,1,0,1
3504206,Auriflama,2022,0,1,0,1
3504206,Auriflama,2023,0,1,0,1
3504206,Auriflama,2024,0,0,0,0
3504206,Auriflama,2025,0,0,0,0
3504305,Avaí,2022,0,0,0,0
3504305,Avaí,2023,0,0,0,0
3504305,Avaí,2024,0,0,0,0
3504305,Avaí,2025,0,0,0,0
3504404,Avanhandava,2022,0,0,0,0
3504404,Avanhandava,2023,0,0,0,0
3504404,Avanhandava,2024,0,0,0,0
3504404,Avanhandava,2025,0,0,0,0
3504503,Avaré,2022,0,2,0,2
3504503,Avaré,2023,0,0,0,0
3504503,Avaré,2024,1,0,0,1
3504503,Avaré,2025,0,0,0,0
3504602,Bady Bassitt,2022,0,1,0,1
3504602,Bady Bassitt,2023,0,0,0,0
3504602,Bady Bassitt,2024,0,1,0,1
3504602,Bady Bassitt,2025,1,0,0,1
3504701,Balbinos,2022,0,0,0,0
3504701,Balbinos,2023,0,0,0,0
3504701,Balbinos,2024,0,0,0,0
3504701,Balbinos,2025,0,0,0,0
3504800,Bálsamo,2022,0,0,0,0
3504800,Bálsamo,2023,1,0,0,1
3504800,Bálsamo,2024,1,0,0,1
3504800,Bálsamo,2025,0,0,0,0
3504909,Bananal,2022,0,0,0,0
3504909,Bananal,2023,0,0,0,0
3504909,Bananal,2024,0,0,0,0
3504909,Bananal,2025,0,0,0,0
3505005,Barão de Antonina,2022,0,0,0,0
