id_municipio,municipio,populacao_media_2022_2025,municipio_chave
3500105,Adamantina,35172.25,ADAMANTINA
3500204,Adolfo,4421.25,ADOLFO
3500303,Aguaí,32479.5,AGUAI
3500402,Águas da Prata,7417.75,AGUAS DA PRATA
3500501,Águas de Lindóia,18090.5,AGUAS DE LINDOIA
3500550,Águas de Santa Bárbara,7305.25,AGUAS DE SANTA BARBARA
3500600,Águas de São Pedro,2829.25,AGUAS DE SAO PEDRO
3500709,Agudos,38306.75,AGUDOS
3500758,Alambari,6246.25,ALAMBARI
3500808,Alfredo Marcondes,4505.0,ALFREDO MARCONDES
3500907,Altair,3462.0,ALTAIR
3501004,Altinópolis,16997.25,ALTINOPOLIS
3501103,Alto Alegre,3859.75,ALTO ALEGRE
3501152,Alumínio,17450.0,ALUMINIO
3501202,Álvares Florence,3946.75,ALVARES FLORENCE
3501301,Álvares Machado,27786.5,ALVARES MACHADO
3501400,Álvaro de Carvalho,4853.25,ALVARO DE CARVALHO
3501509,Alvinlândia,2903.0,ALVINLANDIA
3501608,Americana,242176.5,AMERICANA
3501707,Américo Brasiliense,33375.75,AMERICO BRASILIENSE
3501806,Américo de Campos,5924.0,AMERICO DE CAMPOS
3501905,Amparo,68881.25,AMPARO
3502002,Analândia,4639.0,ANALANDIA
3502101,Andradina,60666.0,ANDRADINA
3502200,Angatuba,24282.25,ANGATUBA
3502309,Anhembi,5720.0,ANHEMBI
3502408,Anhumas,4068.0,ANHUMAS
3502507,Aparecida,32875.5,APARECIDA
3502606,Aparecida d'Oeste,4102.0,APARECIDA DOESTE
3502705,Apiaí,24728.25,APIAI
3502754,Araçariguama,21881.5,ARACARIGUAMA
3502804,Araçatuba,204109.5,ARACATUBA
3502903,Araçoiaba da Serra,33093.5,ARACOIABA DA SERRA
3503000,Aramina,5475.25,ARAMINA
3503109,Arandu,6974.0,ARANDU
3503158,Arapeí,2342.5,ARAPEI
3503208,Araraquara,247562.0,ARARAQUARA
3503307,Araras,133201.75,ARARAS
3503356,Arco-Íris,2065.5,ARCO IRIS
3503406,Arealva,8207.5,AREALVA
3503505,Areias,3599.0,AREIAS
3503604,Areiópolis,10189.75,AREIOPOLIS
3503703,Ariranha,7619.5,ARIRANHA
3503802,Artur Nogueira,52384.0,ARTUR NOGUEIRA
3503901,Arujá,88393.0,ARUJA
3503950,Aspásia,1858.0,ASPASIA
3504008,Assis,103079.5,ASSIS
3504107,Atibaia,162624.5,ATIBAIA
3504206,Auriflama,13778.25,AURIFLAMA
3504305,Avaí,4497.0,AVAI
3504404,Avanhandava,11350.0,AVANHANDAVA
3504503,Avaré,94539.5,AVARE
3504602,Bady Bassitt,28193.75,BADY BASSITT
3504701,Balbinos,3926.5,BALBINOS
3504800,Bálsamo,9737.0,BALSAMO
3504909,Bananal,10036.0,BANANAL
3505005,Barão de Antonina,3578.0,BARAO DE ANTONINA
3505104,Barbosa,5641.5,BARBOSA
3505203,Bariri,32000.25,BARIRI
3505302,Barra Bonita,34745.0,BARRA BONITA
