"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Município";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Município";"Cor ou raça";"Idade";"2022"
"Município";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Município";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Adamantina (SP)";"Total";"Total";"29419";"14000";"15419";"28387";"13584";"14803";"1032";"416";"616"
"Adolfo (SP)";"Total";"Total";"3570";"1736";"1834";"3328";"1631";"1697";"242";"105";"137"
"Aguaí (SP)";"Total";"Total";"25917";"12676";"13241";"24630";"12059";"12571";"1287";"617";"670"
"Águas da Prata (SP)";"Total";"Total";"6221";"2985";"3236";"6025";"2902";"3123";"196";"83";"113"
"Águas de Lindóia (SP)";"Total";"Total";"15159";"7288";"7871";"14615";"7028";"7587";"544";"260";"284"
"Águas de Santa Bárbara (SP)";"Total";"Total";"5843";"2876";"2967";"5588";"2760";"2828";"255";"116";"139"
"Águas de São Pedro (SP)";"Total";"Total";"2414";"1108";"1306";"2384";"1093";"1291";"30";"15";"15"
"Agudos (SP)";"Total";"Total";"30261";"14718";"15543";"29107";"14219";"14888";"1154";"499";"655"
"Alambari (SP)";"Total";"Total";"4920";"2472";"2448";"4694";"2374";"2320";"226";"98";"128"
"Alfredo Marcondes (SP)";"Total";"Total";"3691";"1828";"1863";"3493";"1750";"1743";"198";"78";"120"
"Altair (SP)";"Total";"Total";"2792";"1426";"1366";"2584";"1314";"1270";"208";"112";"96"
"Altinópolis (SP)";"Total";"Total";"13725";"6702";"7023";"13037";"6400";"6637";"688";"302";"386"
"Alto Alegre (SP)";"Total";"Total";"3263";"1641";"1622";"3076";"1552";"1524";"187";"89";"98"
"Alumínio (SP)";"Total";"Total";"13884";"6897";"6987";"13357";"6679";"6678";"527";"218";"309"
"Álvares Florence (SP)";"Total";"Total";"3343";"1681";"1662";"3126";"1581";"1545";"217";"100";"117"
"Álvares Machado (SP)";"Total";"Total";"22078";"10633";"11445";"21145";"10211";"10934";"933";"422";"511"
"Álvaro de Carvalho (SP)";"Total";"Total";"4188";"2927";"1261";"3907";"2777";"1130";"281";"150";"131"
"Alvinlândia (SP)";"Total";"Total";"2331";"1147";"1184";"2161";"1075";"1086";"170";"72";"98"
"Americana (SP)";"Total";"Total";"198517";"94918";"103599";"195206";"93664";"101542";"3311";"1254";"2057"
