"Tabela 10062 - Número médio de anos de estudo das pessoas com 11 anos ou mais de idade, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Número médio de anos de estudo das pessoas de 11 anos ou mais de idade (Anos)"
"Município";"Cor ou raça";"Ano x Grupo de idade x Sexo"
"Município";"Cor ou raça";"2022"
"Município";"Cor ou raça";"Total";;;"25 anos ou mais"
"Município";"Cor ou raça";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Adamantina (SP)";"Total";"10,5";"10,4";"10,5";"10,4";"10,4";"10,5"
"Adolfo (SP)";"Total";"8,4";"8,4";"8,3";"8,1";"8,1";"8,1"
"Aguaí (SP)";"Total";"9,0";"9,0";"9,1";"9,0";"8,9";"9,0"
"Águas da Prata (SP)";"Total";"9,4";"9,3";"9,6";"9,4";"9,3";"9,5"
"Águas de Lindóia (SP)";"Total";"9,5";"9,4";"9,6";"9,5";"9,4";"9,6"
"Águas de Santa Bárbara (SP)";"Total";"10,1";"10,0";"10,2";"10,2";"10,2";"10,3"
"Águas de São Pedro (SP)";"Total";"11,4";"11,5";"11,3";"11,7";"11,9";"11,6"
"Agudos (SP)";"Total";"10,0";"10,1";"10,0";"10,1";"10,2";"10,0"
"Alambari (SP)";"Total";"9,1";"9,1";"9,2";"8,9";"8,8";"9,1"
"Alfredo Marcondes (SP)";"Total";"9,5";"9,5";"9,4";"9,4";"9,4";"9,3"
"Altair (SP)";"Total";"8,5";"8,1";"8,9";"8,2";"7,7";"8,6"
"Altinópolis (SP)";"Total";"9,1";"8,9";"9,3";"9,0";"8,7";"9,2"
"Alto Alegre (SP)";"Total";"8,6";"8,5";"8,7";"8,4";"8,3";"8,5"
"Alumínio (SP)";"Total";"10,1";"10,1";"10,0";"10,2";"10,3";"10,0"
"Álvares Florence (SP)";"Total";"8,5";"8,3";"8,6";"8,3";"8,2";"8,5"
"Álvares Machado (SP)";"Total";"9,8";"9,7";"9,9";"9,8";"9,7";"9,9"
"Álvaro de Carvalho (SP)";"Total";"7,3";"7,0";"7,8";"6,9";"6,7";"7,4"
"Alvinlândia (SP)";"Total";"8,5";"8,1";"8,8";"8,4";"8,0";"8,7"
"Americana (SP)";"Total";"10,9";"11,0";"10,8";"11,1";"11,3";"10,9"
"Américo Brasiliense (SP)";"Total";"8,8";"8,9";"8,8";"8,6";"8,7";"8,6"
"Américo de Campos (SP)";"Total";"9,1";"9,0";"9,3";"8,9";"8,8";"9,0"
"Amparo (SP)";"Total";"10,3";"10,3";"10,4";"10,4";"10,3";"10,5"
"Analândia (SP)";"Total";"9,9";"9,9";"10,0";"10,0";"10,0";"10,1"
"Andradina (SP)";"Total";"10,1";"10,0";"10,2";"10,1";"10,0";"10,2"
"Angatuba (SP)";"Total";"9,2";"9,1";"9,3";"9,1";"9,0";"9,2"
