codigo_municipio,nome_municipio,ano,categoria_rede_agua,variavel,unidade_medida,valor
3500105,Adamantina - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,13583
3500105,Adamantina - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,13178
3500105,Adamantina - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,16
3500105,Adamantina - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,389
3500204,Adolfo - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1650
3500204,Adolfo - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1459
3500204,Adolfo - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,74
3500204,Adolfo - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,117
3500303,Aguaí - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,11480
3500303,Aguaí - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,10718
3500303,Aguaí - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,86
3500303,Aguaí - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,676
3500402,Águas da Prata - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,2830
3500402,Águas da Prata - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,2543
3500402,Águas da Prata - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,29
3500402,Águas da Prata - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,258
3500501,Águas de Lindóia - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,6799
3500501,Águas de Lindóia - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,6398
3500501,Águas de Lindóia - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,139
3500501,Águas de Lindóia - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,262
3500550,Águas de Santa Bárbara - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,2710
3500550,Águas de Santa Bárbara - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,2368
3500550,Águas de Santa Bárbara - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,17
3500550,Águas de Santa Bárbara - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,325
3500600,Águas de São Pedro - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1153
3500600,Águas de São Pedro - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1153
3500600,Águas de São Pedro - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,-
3500600,Águas de São Pedro - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,-
3500709,Agudos - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,12936
3500709,Agudos - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,12302
3500709,Agudos - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,182
3500709,Agudos - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,452
3500758,Alambari - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,2139
3500758,Alambari - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1748
3500758,Alambari - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,39
3500758,Alambari - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,352
3500808,Alfredo Marcondes - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1726
3500808,Alfredo Marcondes - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1519
3500808,Alfredo Marcondes - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,19
3500808,Alfredo Marcondes - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,188
3500907,Altair - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1278
3500907,Altair - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1073
3500907,Altair - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,69
3500907,Altair - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,136
3501004,Altinópolis - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,6078
3501004,Altinópolis - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,5547
3501004,Altinópolis - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,142
3501004,Altinópolis - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,389
3501103,Alto Alegre - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1518
3501103,Alto Alegre - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1239
3501103,Alto Alegre - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,46
3501103,Alto Alegre - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,233
3501152,Alumínio - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,5944
3501152,Alumínio - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,5407
3501152,Alumínio - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,117
3501152,Alumínio - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,420
3501202,Álvares Florence - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1533
3501202,Álvares Florence - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1057
3501202,Álvares Florence - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,24
3501202,Álvares Florence - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,452
3501301,Álvares Machado - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,9869
3501301,Álvares Machado - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,8923
3501301,Álvares Machado - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,46
3501301,Álvares Machado - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,900
3501400,Álvaro de Carvalho - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1168
3501400,Álvaro de Carvalho - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,1073
3501400,Álvaro de Carvalho - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,61
3501400,Álvaro de Carvalho - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,34
3501509,Alvinlândia - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,1007
3501509,Alvinlândia - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,939
3501509,Alvinlândia - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,6
3501509,Alvinlândia - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,62
3501608,Americana - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,89205
3501608,Americana - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,85379
3501608,Americana - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,2458
3501608,Americana - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,1368
3501707,Américo Brasiliense - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,11411
3501707,Américo Brasiliense - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,11335
3501707,Américo Brasiliense - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,29
3501707,Américo Brasiliense - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,47
3501806,Américo de Campos - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,2361
3501806,Américo de Campos - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,2105
3501806,Américo de Campos - SP,2022,"Possui ligação à rede geral, mas utiliza principalmente outra forma",Domicílios particulares permanentes ocupados,Unidades,149
3501806,Américo de Campos - SP,2022,Não possui ligação com a rede geral,Domicílios particulares permanentes ocupados,Unidades,107
3501905,Amparo - SP,2022,Total,Domicílios particulares permanentes ocupados,Unidades,24491
3501905,Amparo - SP,2022,Possui ligação à rede geral e a utiliza como forma principal,Domicílios particulares permanentes ocupados,Unidades,21999
