codigo_municipio,nome_municipio,ano,situacao_domicilio,variavel,unidade_medida,valor
3500105,Adamantina - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,13583
3500105,Adamantina - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,13165
3500105,Adamantina - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,418
3500204,Adolfo - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1650
3500204,Adolfo - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1529
3500204,Adolfo - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,121
3500303,Aguaí - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,11480
3500303,Aguaí - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,10747
3500303,Aguaí - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,733
3500402,Águas da Prata - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,2830
3500402,Águas da Prata - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,2486
3500402,Águas da Prata - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,344
3500501,Águas de Lindóia - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,6799
3500501,Águas de Lindóia - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,5968
3500501,Águas de Lindóia - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,831
3500550,Águas de Santa Bárbara - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,2710
3500550,Águas de Santa Bárbara - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,2395
3500550,Águas de Santa Bárbara - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,315
3500600,Águas de São Pedro - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1153
3500600,Águas de São Pedro - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1153
3500600,Águas de São Pedro - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,-
3500709,Agudos - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,12936
3500709,Agudos - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,12417
3500709,Agudos - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,519
3500758,Alambari - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,2139
3500758,Alambari - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1573
3500758,Alambari - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,566
3500808,Alfredo Marcondes - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1726
3500808,Alfredo Marcondes - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1462
3500808,Alfredo Marcondes - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,264
3500907,Altair - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1278
3500907,Altair - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1116
3500907,Altair - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,162
3501004,Altinópolis - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,6078
3501004,Altinópolis - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,5533
3501004,Altinópolis - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,545
3501103,Alto Alegre - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1518
3501103,Alto Alegre - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1240
3501103,Alto Alegre - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,278
3501152,Alumínio - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,5944
3501152,Alumínio - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,5724
3501152,Alumínio - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,220
3501202,Álvares Florence - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1533
3501202,Álvares Florence - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1051
3501202,Álvares Florence - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,482
3501301,Álvares Machado - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,9869
3501301,Álvares Machado - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,9126
3501301,Álvares Machado - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,743
3501400,Álvaro de Carvalho - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1168
3501400,Álvaro de Carvalho - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1074
3501400,Álvaro de Carvalho - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,94
3501509,Alvinlândia - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1007
3501509,Alvinlândia - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,922
3501509,Alvinlândia - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,85
3501608,Americana - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,89205
3501608,Americana - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,89066
3501608,Americana - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,139
3501707,Américo Brasiliense - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,11411
3501707,Américo Brasiliense - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,11310
3501707,Américo Brasiliense - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,101
3501806,Américo de Campos - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,2361
3501806,Américo de Campos - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,2076
3501806,Américo de Campos - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,285
3501905,Amparo - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,24491
3501905,Amparo - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,22685
3501905,Amparo - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1806
3502002,Analândia - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1679
3502002,Analândia - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1428
3502002,Analândia - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,251
3502101,Andradina - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,21911
3502101,Andradina - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,20629
3502101,Andradina - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1282
3502200,Angatuba - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,8493
3502200,Angatuba - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,5997
3502200,Angatuba - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,2496
3502309,Anhembi - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,2054
3502309,Anhembi - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1686
3502309,Anhembi - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,368
3502408,Anhumas - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1481
3502408,Anhumas - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1256
3502408,Anhumas - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,225
3502507,Aparecida - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,11364
3502507,Aparecida - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,11149
3502507,Aparecida - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,215
3502606,Aparecida d'Oeste - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,1616
3502606,Aparecida d'Oeste - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,1297
3502606,Aparecida d'Oeste - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,319
3502705,Apiaí - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,8822
3502705,Apiaí - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,6889
3502705,Apiaí - SP,2022,Rural,Domicílios particulares permanentes ocupados,Domicílios,1933
3502754,Araçariguama - SP,2022,Total,Domicílios particulares permanentes ocupados,Domicílios,7399
3502754,Araçariguama - SP,2022,Urbana,Domicílios particulares permanentes ocupados,Domicílios,6495
