"Tabela 10061 - Pessoas de 18 anos ou mais de idade, por nível de instrução, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Pessoas de 18 anos ou mais de idade (Pessoas)"
"Município","Sexo","Cor ou raça","Ano x Nível de instrução x Grupo de idade"
"Município","Sexo","Cor ou raça","2022"
"Município","Sexo","Cor ou raça","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo"
"Município","Sexo","Cor ou raça","Total","Total","Total","Total","Total"
"Adamantina (SP)","Total","Total","28346","7419","3778","10918","6231"
"Adamantina (SP)","Homens","Total","13427","3461","1962","5456","2547"
"Adamantina (SP)","Mulheres","Total","14919","3958","1816","5462","3683"
"Adolfo (SP)","Total","Total","3387","1512","469","1050","355"
"Adolfo (SP)","Homens","Total","1640","706","245","572","117"
"Adolfo (SP)","Mulheres","Total","1747","806","225","478","237"
"Aguaí (SP)","Total","Total","24550","9180","4755","7612","3002"
"Aguaí (SP)","Homens","Total","11968","4463","2547","3709","1250"
"Aguaí (SP)","Mulheres","Total","12582","4718","2208","3903","1753"
"Águas da Prata (SP)","Total","Total","5946","2160","836","1998","952"
"Águas da Prata (SP)","Homens","Total","2792","1065","446","855","426"
"Águas da Prata (SP)","Mulheres","Total","3154","1095","390","1143","526"
"Águas de Lindóia (SP)","Total","Total","14502","4863","2249","5063","2326"
"Águas de Lindóia (SP)","Homens","Total","6958","2348","1147","2571","893"
"Águas de Lindóia (SP)","Mulheres","Total","7544","2515","1103","2492","1434"
"Águas de Santa Bárbara (SP)","Total","Total","5562","1614","811","2030","1106"
"Águas de Santa Bárbara (SP)","Homens","Total","2729","764","485","1000","481"
"Águas de Santa Bárbara (SP)","Mulheres","Total","2833","850","326","1031","626"
"Águas de São Pedro (SP)","Total","Total","2333","452","201","753","928"
"Águas de São Pedro (SP)","Homens","Total","1063","182","82","375","424"
"Águas de São Pedro (SP)","Mulheres","Total","1270","270","119","377","504"
"Agudos (SP)","Total","Total","28676","7670","4526","11958","4523"
"Agudos (SP)","Homens","Total","13861","3482","2343","6059","1977"
"Agudos (SP)","Mulheres","Total","14815","4188","2183","5899","2545"
"Alambari (SP)","Total","Total","4690","1693","854","1717","425"
"Alambari (SP)","Homens","Total","2378","891","455","863","168"
"Alambari (SP)","Mulheres","Total","2312","802","399","854","257"
"Alfredo Marcondes (SP)","Total","Total","3548","1221","373","1493","461"
"Alfredo Marcondes (SP)","Homens","Total","1755","559","192","825","179"
"Alfredo Marcondes (SP)","Mulheres","Total","1793","662","181","668","282"
"Altair (SP)","Total","Total","2666","1206","304","896","261"
"Altair (SP)","Homens","Total","1360","666","163","446","85"
"Altair (SP)","Mulheres","Total","1306","539","141","450","176"
"Altinópolis (SP)","Total","Total","13130","5048","1793","4303","1986"
"Altinópolis (SP)","Homens","Total","6388","2539","1007","2016","827"
"Altinópolis (SP)","Mulheres","Total","6741","2508","787","2287","1159"
"Alto Alegre (SP)","Total","Total","3159","1294","581","946","338"
"Alto Alegre (SP)","Homens","Total","1593","648","346","470","129"
"Alto Alegre (SP)","Mulheres","Total","1565","646","235","476","208"
"Alumínio (SP)","Total","Total","13131","3145","2019","6358","1610"
"Alumínio (SP)","Homens","Total","6538","1464","1081","3305","688"
"Alumínio (SP)","Mulheres","Total","6593","1681","938","3052","922"
"Álvares Florence (SP)","Total","Total","3193","1462","437","952","341"
"Álvares Florence (SP)","Homens","Total","1595","750","228","504","113"
"Álvares Florence (SP)","Mulheres","Total","1597","712","209","448","228"
"Álvares Machado (SP)","Total","Total","20944","6105","3813","7788","3238"
"Álvares Machado (SP)","Homens","Total","10037","2898","1913","3890","1336"
"Álvares Machado (SP)","Mulheres","Total","10907","3207","1901","3898","1901"
"Álvaro de Carvalho (SP)","Total","Total","4074","2063","659","1173","179"
"Álvaro de Carvalho (SP)","Homens","Total","2858","1527","556","696","79"
"Álvaro de Carvalho (SP)","Mulheres","Total","1216","536","103","477","100"
"Alvinlândia (SP)","Total","Total","2198","886","310","729","272"
"Alvinlândia (SP)","Homens","Total","1085","465","148","382","90"
"Alvinlândia (SP)","Mulheres","Total","1113","421","162","348","182"
"Americana (SP)","Total","Total","190228","41130","24256","78597","46246"
"Americana (SP)","Homens","Total","90743","17808","11920","39721","21294"
"Americana (SP)","Mulheres","Total","99485","23321","12336","38876","24952"
"Américo Brasiliense (SP)","Total","Total","25444","8520","4405","11076","1443"
"Américo Brasiliense (SP)","Homens","Total","12440","4063","2251","5583","543"
"Américo Brasiliense (SP)","Mulheres","Total","13003","4456","2154","5493","900"
"Américo de Campos (SP)","Total","Total","4764","1809","745","1637","573"
"Américo de Campos (SP)","Homens","Total","2317","920","373","806","218"
"Américo de Campos (SP)","Mulheres","Total","2447","889","372","831","355"
"Amparo (SP)","Total","Total","55389","14667","7469","22602","10651"
"Amparo (SP)","Homens","Total","26741","6863","3847","11526","4504"
"Amparo (SP)","Mulheres","Total","28648","7804","3622","11075","6147"
"Analândia (SP)","Total","Total","3500","989","468","1426","618"
"Analândia (SP)","Homens","Total","1728","510","228","701","290"
"Analândia (SP)","Mulheres","Total","1772","479","240","725","328"
"Andradina (SP)","Total","Total","47566","13888","7645","17205","8828"
"Andradina (SP)","Homens","Total","23437","7037","4206","8589","3606"
"Andradina (SP)","Mulheres","Total","24129","6851","3439","8616","5222"
"Angatuba (SP)","Total","Total","18286","6808","2753","6278","2446"
"Angatuba (SP)","Homens","Total","9129","3430","1524","3115","1060"
"Angatuba (SP)","Mulheres","Total","9158","3378","1230","3163","1386"
"Anhembi (SP)","Total","Total","4234","1745","787","1182","520"
"Anhembi (SP)","Homens","Total","2121","932","454","572","162"
"Anhembi (SP)","Mulheres","Total","2113","813","333","610","358"
"Anhumas (SP)","Total","Total","3119","1040","512","1096","471"
"Anhumas (SP)","Homens","Total","1502","528","275","567","131"
"Anhumas (SP)","Mulheres","Total","1617","512","236","529","339"
"Aparecida (SP)","Total","Total","25792","6879","4042","10655","4216"
"Aparecida (SP)","Homens","Total","12173","3230","2174","5052","1717"
"Aparecida (SP)","Mulheres","Total","13619","3649","1868","5603","2499"
"Aparecida d'Oeste (SP)","Total","Total","3336","1570","408","956","403"
"Aparecida d'Oeste (SP)","Homens","Total","1612","729","235","478","171"
"Aparecida d'Oeste (SP)","Mulheres","Total","1724","841","173","478","232"
"Apiaí (SP)","Total","Total","18405","6898","2688","6817","2002"
"Apiaí (SP)","Homens","Total","9053","3579","1419","3412","642"
"Apiaí (SP)","Mulheres","Total","9352","3318","1269","3404","1360"
