Cod_mun;municipios;PIB;Ano
3500105;Adamantina;R$ 1.705.894.987,;2023
3500204;Adolfo;R$ 215.282.976,;2023
3500303;Aguaí;R$ 1.773.842.732,;2023
3500402;Águas da Prata;R$ 272.358.712,;2023
3500501;Águas de Lindóia;R$ 801.114.539,;2023
3500550;Águas de Santa Bárbara;R$ 375.561.879,;2023
3500600;Águas de São Pedro;R$ 185.389.984,;2023
3500709;Agudos;R$ 3.415.808.553,;2023
3500758;Alambari;R$ 160.252.134,;2023
3500808;Alfredo Marcondes;R$ 158.136.921,;2023
3500907;Altair;R$ 210.528.680,;2023
3501004;Altinópolis;R$ 946.537.783,;2023
3501103;Alto Alegre;R$ 172.396.107,;2023
3501152;Alumínio;R$ 3.438.994.015,;2023
3501202;Álvares Florence;R$ 175.598.215,;2023
3501301;Álvares Machado;R$ 859.771.399,;2023
3501400;Álvaro de Carvalho;R$ 69.376.886,;2023
3501509;Alvinlândia;R$ 82.612.841,;2023
3501608;Americana;R$ 17.600.565.714,;2023
3501707;Américo Brasiliense;R$ 1.504.961.923,;2023
3501806;Américo de Campos;R$ 175.847.704,;2023
3501905;Amparo;R$ 6.698.468.843,;2023
3502002;Analândia;R$ 266.291.597,;2023
3502101;Andradina;R$ 4.464.940.278,;2023
3502200;Angatuba;R$ 1.776.474.762,;2023
3502309;Anhembi;R$ 315.143.922,;2023
3502408;Anhumas;R$ 132.375.558,;2023
3502507;Aparecida;R$ 1.369.698.939,;2023
3502606;Aparecida d'Oeste;R$ 225.793.852,;2023
3502705;Apiaí;R$ 1.235.625.606,;2023
3502754;Araçariguama;R$ 4.832.076.525,;2023
3502804;Araçatuba;R$ 11.457.739.505,;2023
3502903;Araçoiaba da Serra;R$ 1.523.193.918,;2023
3503000;Aramina;R$ 219.178.923,;2023
3503109;Arandu;R$ 217.238.409,;2023
3503158;Arapeí;R$ 53.235.830,;2023
3503208;Araraquara;R$ 14.689.500.266,;2023
3503307;Araras;R$ 10.022.873.262,;2023
3503356;Arco-Íris;R$ 136.328.537,;2023
3503406;Arealva;R$ 301.110.079,;2023
3503505;Areias;R$ 75.042.147,;2023
3503604;Areiópolis;R$ 221.706.617,;2023
3503703;Ariranha;R$ 1.252.002.226,;2023
3503802;Artur Nogueira;R$ 2.162.832.741,;2023
3503901;Arujá;R$ 10.426.127.299,;2023
3503950;Aspásia;R$ 65.850.757,;2023
3504008;Assis;R$ 4.682.609.402,;2023
3504107;Atibaia;R$ 9.426.583.645,;2023
3504206;Auriflama;R$ 443.572.489,;2023
3504305;Avaí;R$ 500.953.319,;2023
3504404;Avanhandava;R$ 295.754.756,;2023
3504503;Avaré;R$ 4.408.538.237,;2023
3504602;Bady Bassitt;R$ 762.195.130,;2023
3504701;Balbinos;R$ 82.894.684,;2023
3504800;Bálsamo;R$ 367.870.867,;2023
3504909;Bananal;R$ 282.443.967,;2023
3505005;Barão de Antonina;R$ 80.403.485,;2023
3505104;Barbosa;R$ 186.922.613,;2023
3505203;Bariri;R$ 1.863.763.724,;2023
3505302;Barra Bonita;R$ 2.077.900.588,;2023
3505351;Barra do Chapéu;R$ 202.870.405,;2023
3505401;Barra do Turvo;R$ 145.159.017,;2023
3505500;Barretos;R$ 6.715.414.139,;2023
3505609;Barrinha;R$ 737.580.107,;2023
3505708;Barueri;R$ 71.646.709.835,;2023
3505807;Bastos;R$ 1.596.603.168,;2023
3505906;Batatais;R$ 3.328.690.303,;2023
3506003;Bauru;R$ 20.654.759.202,;2023
3506102;Bebedouro;R$ 5.343.661.449,;2023
3506201;Bento de Abreu;R$ 288.020.154,;2023
3506300;Bernardino de Campos;R$ 605.499.302,;2023
3506359;Bertioga;R$ 2.663.550.123,;2023
3506409;Bilac;R$ 307.745.487,;2023
3506508;Birigui;R$ 4.866.489.546,;2023
3506607;Biritiba Mirim;R$ 1.111.541.124,;2023
3506706;Boa Esperança do Sul;R$ 633.216.137,;2023
3506805;Bocaina;R$ 381.376.277,;2023
3506904;Bofete;R$ 309.772.994,;2023
3507001;Boituva;R$ 4.474.129.933,;2023
3507100;Bom Jesus dos Perdões;R$ 1.627.411.043,;2023
3507159;Bom Sucesso de Itararé;R$ 77.487.097,;2023
3507209;Borá;R$ 120.962.346,;2023
3507308;Boracéia;R$ 657.535.084,;2023
3507407;Borborema;R$ 704.920.778,;2023
3507456;Borebi;R$ 118.452.374,;2023
3507506;Botucatu;R$ 7.992.147.651,;2023
3507605;Bragança Paulista;R$ 10.443.287.830,;2023
3507704;Braúna;R$ 157.855.147,;2023
3507753;Brejo Alegre;R$ 90.696.609,;2023
3507803;Brodowski;R$ 1.210.304.604,;2023
3507902;Brotas;R$ 1.555.980.462,;2023
3508009;Buri;R$ 907.832.787,;2023
3508108;Buritama;R$ 746.203.785,;2023
3508207;Buritizal;R$ 305.567.589,;2023
3508306;Cabrália Paulista;R$ 177.481.056,;2023
3508405;Cabreúva;R$ 7.240.981.438,;2023
3508504;Caçapava;R$ 6.516.271.282,;2023
3508603;Cachoeira Paulista;R$ 847.786.431,;2023
3508702;Caconde;R$ 554.109.419,;2023
3508801;Cafelândia;R$ 930.635.174,;2023
3508900;Caiabu;R$ 88.015.441,;2023
3509007;Caieiras;R$ 5.507.619.475,;2023
3509106;Caiuá;R$ 111.895.200,;2023
3509205;Cajamar;R$ 28.984.601.766,;2023
3509254;Cajati;R$ 1.987.670.371,;2023
3509304;Cajobi;R$ 275.000.646,;2023
3509403;Cajuru;R$ 1.123.798.612,;2023
3509452;Campina do Monte Alegre;R$ 211.436.295,;2023
3509502;Campinas;R$ 91.968.328.317,;2023
3509601;Campo Limpo Paulista;R$ 3.233.934.762,;2023
