,ano,mes,tipo,capital,demacro,interior,total
0,2018,1,FEMINICÍDIO,0,0,5,5
1,2018,2,FEMINICÍDIO,4,0,4,8
2,2018,3,FEMINICÍDIO,0,5,3,8
3,2018,4,FEMINICÍDIO,2,3,9,14
4,2018,5,FEMINICÍDIO,4,6,6,16
5,2018,6,FEMINICÍDIO,1,1,4,6
6,2018,7,FEMINICÍDIO,3,5,8,16
7,2018,8,FEMINICÍDIO,2,2,7,11
8,2018,9,FEMINICÍDIO,4,1,6,11
9,2018,10,FEMINICÍDIO,5,1,11,17
10,2018,11,FEMINICÍDIO,1,1,7,9
11,2018,12,FEMINICÍDIO,3,4,8,15
12,2019,1,FEMINICÍDIO,2,2,10,14
13,2019,2,FEMINICÍDIO,2,4,6,12
14,2019,3,FEMINICÍDIO,1,6,6,13
15,2019,4,FEMINICÍDIO,4,4,8,16
16,2019,5,FEMINICÍDIO,6,3,10,19
17,2019,6,FEMINICÍDIO,2,2,7,11
18,2019,7,FEMINICÍDIO,3,1,1,5
19,2019,8,FEMINICÍDIO,5,1,7,13
20,2019,9,FEMINICÍDIO,6,4,9,19
21,2019,10,FEMINICÍDIO,5,1,12,18
22,2019,11,FEMINICÍDIO,2,3,12,17
23,2019,12,FEMINICÍDIO,6,3,18,27
24,2020,1,FEMINICÍDIO,4,1,6,11
25,2020,2,FEMINICÍDIO,5,3,10,18
26,2020,3,FEMINICÍDIO,2,6,12,20
27,2020,4,FEMINICÍDIO,3,2,16,21
28,2020,5,FEMINICÍDIO,1,1,7,9
29,2020,6,FEMINICÍDIO,1,2,5,8
30,2020,7,FEMINICÍDIO,3,1,9,13
31,2020,8,FEMINICÍDIO,2,2,4,8
32,2020,9,FEMINICÍDIO,4,4,7,15
33,2020,10,FEMINICÍDIO,5,2,10,17
34,2020,11,FEMINICÍDIO,4,5,10,19
35,2020,12,FEMINICÍDIO,6,4,10,20
36,2021,1,FEMINICÍDIO,3,1,6,10
37,2021,2,FEMINICÍDIO,3,1,8,12
38,2021,3,FEMINICÍDIO,4,2,15,21
39,2021,4,FEMINICÍDIO,3,1,6,10
40,2021,5,FEMINICÍDIO,5,3,17,25
41,2021,6,FEMINICÍDIO,2,0,6,8
42,2021,7,FEMINICÍDIO,2,2,4,8
43,2021,8,FEMINICÍDIO,1,2,5,8
44,2021,9,FEMINICÍDIO,2,1,2,5
45,2021,10,FEMINICÍDIO,4,1,6,11
46,2021,11,FEMINICÍDIO,1,0,9,10
47,2021,12,FEMINICÍDIO,3,2,7,12
48,2022,1,FEMINICÍDIO,4,5,11,20
49,2022,2,FEMINICÍDIO,2,1,8,11
50,2022,3,FEMINICÍDIO,1,6,12,19
51,2022,4,FEMINICÍDIO,4,1,5,10
52,2022,5,FEMINICÍDIO,2,3,7,12
53,2022,6,FEMINICÍDIO,1,2,8,11
54,2022,7,FEMINICÍDIO,3,6,11,20
55,2022,8,FEMINICÍDIO,4,6,6,16
56,2022,9,FEMINICÍDIO,4,4,5,13
57,2022,10,FEMINICÍDIO,6,7,8,21
58,2022,11,FEMINICÍDIO,4,2,16,22
59,2022,12,FEMINICÍDIO,6,5,9,20
60,2023,1,FEMINICÍDIO,0,2,16,18
61,2023,2,FEMINICÍDIO,4,3,18,25
62,2023,3,FEMINICÍDIO,2,4,12,18
63,2023,4,FEMINICÍDIO,7,3,9,19
64,2023,5,FEMINICÍDIO,2,5,14,21
65,2023,6,FEMINICÍDIO,1,4,5,10
66,2023,7,FEMINICÍDIO,3,2,7,12
67,2023,8,FEMINICÍDIO,4,3,12,19
68,2023,9,FEMINICÍDIO,4,3,17,24
69,2023,10,FEMINICÍDIO,4,6,5,15
70,2023,11,FEMINICÍDIO,3,3,8,14
71,2023,12,FEMINICÍDIO,4,7,15,26
72,2024,1,FEMINICÍDIO,5,3,17,25
73,2024,2,FEMINICÍDIO,5,4,18,27
74,2024,3,FEMINICÍDIO,5,4,14,23
75,2024,4,FEMINICÍDIO,3,1,12,16
76,2024,5,FEMINICÍDIO,6,3,11,20
77,2024,6,FEMINICÍDIO,1,3,9,13
78,2024,7,FEMINICÍDIO,3,4,5,12
79,2024,8,FEMINICÍDIO,4,4,8,16
80,2024,9,FEMINICÍDIO,8,4,12,24
81,2024,10,FEMINICÍDIO,2,5,11,18
82,2024,11,FEMINICÍDIO,6,2,27,35
83,2024,12,FEMINICÍDIO,3,5,16,24
84,2025,1,FEMINICÍDIO,7,3,12,22
85,2025,2,FEMINICÍDIO,6,1,13,20
86,2025,3,FEMINICÍDIO,4,6,9,19
87,2025,4,FEMINICÍDIO,6,4,11,21
88,2025,5,FEMINICÍDIO,6,5,15,26
89,2025,6,FEMINICÍDIO,2,8,11,21
90,2025,7,FEMINICÍDIO,8,2,14,24
91,2025,8,FEMINICÍDIO,3,6,6,15
92,2025,9,FEMINICÍDIO,7,2,8,17
93,2025,10,FEMINICÍDIO,4,3,15,22
94,2025,11,FEMINICÍDIO,5,7,14,26
95,2025,12,FEMINICÍDIO,5,9,23,37
96,2026,1,FEMINICÍDIO,5,1,21,27
97,2026,2,FEMINICÍDIO,6,3,20,29
