ANO_BO,ANO_ESTATISTICA,BAIRRO,DATA_OCORRENCIA_BO,DESCR_CONDUTA,DESC_PERIODO,HORA_OCORRENCIA_BO,LATITUDE,LOGRADOURO,LONGITUDE,MES_ESTATISTICA,NATUREZA_APURADA,NOME_DELEGACIA,NOME_DELEGACIA_CIRCUNSCRICAO,NOME_DEPARTAMENTO,NOME_DEPARTAMENTO_CIRCUNSCRICAO,NOME_MUNICIPIO,NOME_MUNICIPIO_CIRCUNSCRICAO,NOME_SECCIONAL,NOME_SECCIONAL_CIRCUNSCRICAO,NUMERO_LOGRADOURO,NUM_BO,RUBRICA
2022.0,2022.0,PARQUE FERNANDA,22/01/2022,Feminicídio-contra a mulher por razões da condição de sexo feminino.,,20:00:00,0,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,0,1.0,TENTATIVA DE HOMICIDIO,06ª DDM SANTO AMARO,47º D.P. CAPAO REDONDO,DECAP,DECAP,S.PAULO,S.PAULO,DEL.SEC.6º SANTO AMARO,DEL.SEC.6º SANTO AMARO,,AE2379,Homicídio (art. 121)
2022.0,2022.0,BELVEDERE,12/01/2022,Feminicídio-contra a mulher por razões da condição de sexo feminino.,,20:10:00,0,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,0,1.0,TENTATIVA DE HOMICIDIO,DEL.POL.PLANTÃO PENAPOLIS,DEL.POL.PENÁPOLIS,DEINTER 10 - ARAÇATUBA,DEINTER 10 - ARAÇATUBA,PENAPOLIS,PENAPOLIS,DEL.SEC.ARACATUBA,DEL.SEC.ARACATUBA,,AC0317,Homicídio (art. 121)
2022.0,2022.0,AREA RURAL,12/01/2022,Feminicídio-contra a mulher por razões da condição de sexo feminino.,,19:00:00,0,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,0,1.0,TENTATIVA DE HOMICIDIO,DEL.POL.GUARUJA,01º D.P. GUARUJA,DEINTER 6 - SANTOS,DEINTER 6 - SANTOS,GUARUJA,GUARUJA,DEL.SEC.SANTOS,DEL.SEC.SANTOS,,AC4630,Homicídio (art. 121)
2022.0,2022.0,PARQUE IMPERIAL,09/01/2022,Feminicídio-contra a mulher por razões da condição de sexo feminino.,,21:00:00,0,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,0,1.0,TENTATIVA DE HOMICIDIO,DDM BARUERI,02º D.P. BARUERI,DEMACRO,DEMACRO,BARUERI,BARUERI,DEL.SEC.CARAPICUIBA,DEL.SEC.CARAPICUIBA,,AB3503,Homicídio (art. 121)
2022.0,2022.0,JD ESPERANÇA,24/01/2022,Feminicídio-contra a mulher por razões da condição de sexo feminino.,EM HORA INCERTA,,0,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,0,1.0,TENTATIVA DE HOMICIDIO,DDM BARUERI,DEL.POL.BARUERI,DEMACRO,DEMACRO,BARUERI,BARUERI,DEL.SEC.CARAPICUIBA,DEL.SEC.CARAPICUIBA,,AF1638,Homicídio (art. 121)
2022.0,2022.0,ELDORADO,21/01/2022,Feminicídio-contra a mulher por razões da condição de sexo feminino.,,20:50:00,"-23,72084144",AVENIDA FREI AMBRÓSIO DE OLIVEIRA LUZ,"-46,62069192",1.0,TENTATIVA DE HOMICIDIO,03º D.P. DIADEMA,04º D.P. DIADEMA,DEMACRO,DEMACRO,DIADEMA,DIADEMA,DEL.SEC.DIADEMA,DEL.SEC.DIADEMA,100,AD7649,Homicídio (art. 121)
2022.0,2022.0,TABOAO,21/01/2022,Feminicídio-contra a mulher por razões da condição de sexo feminino.,,21:43:00,0,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,0,1.0,TENTATIVA DE HOMICIDIO,07º D.P. GUARULHOS,09º D.P. GUARULHOS,DEMACRO,DEMACRO,GUARULHOS,GUARULHOS,DEL.SEC.GUARULHOS,DEL.SEC.GUARULHOS,,AD7666,Homicídio (art. 121)
2022.0,2022.0,CIDADE BOA VISTA PLANALTO,25/01/2022,Feminicídio-contra a mulher por razões da condição de sexo feminino.,A NOITE,,0,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,0,1.0,TENTATIVA DE HOMICIDIO,DDM SUZANO,02º D.P. SUZANO,DEMACRO,DEMACRO,SUZANO,SUZANO,DEL.SEC.MOGI DAS CRUZES,DEL.SEC.MOGI DAS CRUZES,,AF1191,Homicídio (art. 121)
2022.0,2022.0,SACOMA,13/02/2022,Feminicídio-contra a mulher por razões da condição de sexo feminino.,,20:35:38,0,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,0,2.0,TENTATIVA DE HOMICIDIO,26º D.P. SACOMA,83º D.P. PARQUE BRISTOL,DECAP,DECAP,S.PAULO,S.PAULO,DEL.SEC.2º SUL,DEL.SEC.2º SUL,,AI8724,Homicídio (art. 121)
2022.0,2022.0,CAPAO REDONDO,23/02/2022,Feminicídio-contra a mulher por razões da condição de sexo feminino.,,05:50:00,0,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,0,2.0,TENTATIVA DE HOMICIDIO,47º D.P. CAPAO REDONDO,47º D.P. CAPAO REDONDO,DECAP,DECAP,S.PAULO,S.PAULO,DEL.SEC.6º SANTO AMARO,DEL.SEC.6º SANTO AMARO,,AL0305,Homicídio (art. 121)
